sentence,inference,model,label
Kids are striking over climate change because adults are too infantile | Richard Russell,"The writer is implying that kids are striking over climate change
",t5_large,real
Jay Inslee Demands Climate Action Now: 'The World's On Fire',"The writer is implying that climate change is burning
",gpt2_large,real
Jay Inslee Demands Climate Action Now: 'The World's On Fire',"The writer is implying that jay inslee wants to fight climate change
",t5_base,real
Jay Inslee Demands Climate Action Now: 'The World's On Fire',"The writer is implying that jay inslee says the world is on fire
",t5_large,real
Letter: We have time to reverse climate crisis if we act decisively,"The writer is implying that we need to act now
",gpt2_large,real
Letter: We have time to reverse climate crisis if we act decisively,"The writer is implying that we need to act on climate change now
",t5_base,real
Letter: We have time to reverse climate crisis if we act decisively,"The writer is implying that we have time to reverse climate change
",t5_large,real
'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,"The writer is implying that greta knows best
",gpt2_large,real
'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,"The writer is implying that greta thunberg thinks climate change activists are the biggest threat to oil industry
",t5_base,real
'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,"The writer is implying that greta thunberg is grateful to the oil industry
",t5_large,real
CDC shares 9 tons of protective gear with responders,"The writer is implying that the cdc doesn't care about helping people
",gpt2_large,real
CDC shares 9 tons of protective gear with responders,"The writer is implying that the cdc is helping responders
",t5_base,real
CDC shares 9 tons of protective gear with responders,"The writer is implying that the cdc is sharing protective gear with responders
",t5_large,real
Solutions to climate change and obesity can be found in our cities,"The writer is implying that there are solutions to climate change
",gpt2_large,real
Solutions to climate change and obesity can be found in our cities,"The writer is implying that there are solutions to climate change and obesity
",t5_base,real
Solutions to climate change and obesity can be found in our cities,"The writer is implying that cities can help combat climate change
",t5_large,real
How People at Higher Risk from COVID-19 Can Enjoy Summer Safely,"The writer is implying that covid can be transmitted in summer
",gpt2_large,real
How People at Higher Risk from COVID-19 Can Enjoy Summer Safely,"The writer is implying that people at higher risk from covid can enjoy summer safely
",t5_base,real
How People at Higher Risk from COVID-19 Can Enjoy Summer Safely,"The writer is implying that people at higher risk can enjoy summer safely
",t5_large,real
Ventilators: Helping or Harming COVID-19 Patients?,"The writer is implying that ventilators might be harmful
",gpt2_large,real
Ventilators: Helping or Harming COVID-19 Patients?,"The writer is implying that ventilators might be beneficial for covid patients
",t5_base,real
Ventilators: Helping or Harming COVID-19 Patients?,"The writer is implying that ventilators can be helpful or harmful
",t5_large,real
Backlash against UK plan to use all-male team to host Cop26 climate summit,"The writer is implying that the uk government is biased
",gpt2_large,real
Backlash against UK plan to use all-male team to host Cop26 climate summit,"The writer is implying that uk wants to use all male team for climate summit
",t5_base,real
Backlash against UK plan to use all-male team to host Cop26 climate summit,"The writer is implying that the uk doesn't care about climate change
",t5_large,real
Nine simple ways to revamp your workspace for a healthier environment,"The writer is implying that there are simple things you can do to help the environment
",gpt2_large,real
Nine simple ways to revamp your workspace for a healthier environment,"The writer is implying that there are ways to improve the environment
",t5_base,real
Nine simple ways to revamp your workspace for a healthier environment,"The writer is implying that there are ways to make your work environment healthier
",t5_large,real
The Drilldown: Report finds climate change most underreported humanitarian crisis,"The writer is implying that climate change is not as important as we thought
",gpt2_large,real
The Drilldown: Report finds climate change most underreported humanitarian crisis,"The writer is implying that climate change is a serious issue
",t5_base,real
The Drilldown: Report finds climate change most underreported humanitarian crisis,"The writer is implying that climate change isn't being taken seriously enough
",t5_large,real
French cheeses at risk of falling foul of global warming as cows lack fresh grass,"The writer is implying that climate change is affecting food production
",gpt2_large,real
French cheeses at risk of falling foul of global warming as cows lack fresh grass,"The writer is implying that french cheeses are at risk of falling foul of global warming
",t5_base,real
French cheeses at risk of falling foul of global warming as cows lack fresh grass,"The writer is implying that cows are dying due to climate change
",t5_large,real
If You Are Sick or Caring for Someone,"The writer is implying that there are things you can do to help
",gpt2_large,real
If You Are Sick or Caring for Someone,"The writer is implying that there are things you can do to protect yourself from covid
",t5_base,real
If You Are Sick or Caring for Someone,"The writer is implying that people should take extra precautions if they are sick
",t5_large,real
David Wallace-Wells: 'There are many cases of climate hypocrisy',"The writer is implying that climate change is not real
",gpt2_large,real
David Wallace-Wells: 'There are many cases of climate hypocrisy',"The writer is implying that climate change is a hoax
",t5_base,real
David Wallace-Wells: 'There are many cases of climate hypocrisy',"The writer is implying that david wallace-wells says climate change is not real
",t5_large,real
Lagarde: ECB should do more to tackle climate emergency,"The writer is implying that the eu is not doing enough to fight climate change
",gpt2_large,real
Lagarde: ECB should do more to tackle climate emergency,"The writer is implying that lagarde thinks ecb should do more to fight climate change
",t5_base,real
Lagarde: ECB should do more to tackle climate emergency,"The writer is implying that lagarde thinks the ecb needs to do more for climate change
",t5_large,real
"""CDC Grows SARS-CoV-2, the virus that causes COVID-19, in Cell Culture""","The writer is implying that the cdc is corrupt
",gpt2_large,real
"""CDC Grows SARS-CoV-2, the virus that causes COVID-19, in Cell Culture""","The writer is implying that the cdc is trying to grow covid
",t5_base,real
"""CDC Grows SARS-CoV-2, the virus that causes COVID-19, in Cell Culture""","The writer is implying that the cdc is growing covid in cell culture
",t5_large,real
Novel COVID-19 survey takes nation's social,"The writer is implying that covid is spreading in the us
",gpt2_large,real
Novel COVID-19 survey takes nation's social,"The writer is implying that society is being impacted by covid
",t5_base,real
Novel COVID-19 survey takes nation's social,"The writer is implying that society is being surveyed about covid
",t5_large,real
"""Recommendation Regarding the Use of Cloth Face Coverings, Especially in Areas of Significant Community-Based Transmission""","The writer is implying that masks are effective
",gpt2_large,real
"""Recommendation Regarding the Use of Cloth Face Coverings, Especially in Areas of Significant Community-Based Transmission""","The writer is implying that people should use cloth face coverings
",t5_base,real
"""Recommendation Regarding the Use of Cloth Face Coverings, Especially in Areas of Significant Community-Based Transmission""","The writer is implying that people should wear masks
",t5_large,real
"If children don't join the climate strike, their schools are underachieving | David Reed","The writer is implying that schools aren't doing enough to fight climate change
",gpt2_large,real
"If children don't join the climate strike, their schools are underachieving | David Reed","The writer is implying that children should join the climate strike
",t5_base,real
"If children don't join the climate strike, their schools are underachieving | David Reed","The writer is implying that schools are underperforming due to climate change
",t5_large,real
Why You Don't Need to Panic About the New Coronavirus,"The writer is implying that covid-19 isn't as bad as we thought
",gpt2_large,real
Why You Don't Need to Panic About the New Coronavirus,"The writer is implying that people shouldn't panic about covid
",t5_base,real
Why You Don't Need to Panic About the New Coronavirus,"The writer is implying that covid isn't that bad
",t5_large,real
Billie Eilish Sounds Alarm on Climate Change and Trump: 'Vote the Orange Man Out',"The writer is implying that the orange man is a climate change denier
",gpt2_large,misinfo
Billie Eilish Sounds Alarm on Climate Change and Trump: 'Vote the Orange Man Out',"The writer is implying that billie eilish is alarming about climate change and trump
",t5_base,misinfo
Billie Eilish Sounds Alarm on Climate Change and Trump: 'Vote the Orange Man Out',"The writer is implying that not all government officials are on the same page
",t5_large,misinfo
"Bill Gates, climate change alarmist, buys $43 million mansion right off the ocean","The writer is implying that bill gates is an alarmist
",gpt2_large,misinfo
"Bill Gates, climate change alarmist, buys $43 million mansion right off the ocean","The writer is implying that bill gates is a climate change denier
",t5_base,misinfo
"Bill Gates, climate change alarmist, buys $43 million mansion right off the ocean","The writer is implying that bill gates bought a mansion off the ocean
",t5_large,misinfo
Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian city's response to the coronavirus pandemic.,"The writer is implying that the government is trying to control people
",gpt2_large,misinfo
Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian city's response to the coronavirus pandemic.,"The writer is implying that holy communion is banned in canada due to covid
",t5_base,misinfo
Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian city's response to the coronavirus pandemic.,"The writer is implying that holy communion has been banned in toronto due to covid
",t5_large,misinfo
Watch: Alex Epstein interviews Dr. Caleb Rossiter about the campaign to silence climate debate on Facebook,"The writer is implying that social media is censoring a climate change debate
",gpt2_large,misinfo
Watch: Alex Epstein interviews Dr. Caleb Rossiter about the campaign to silence climate debate on Facebook,"The writer is implying that the climate change debate is being silenced on facebook
",t5_base,misinfo
Watch: Alex Epstein interviews Dr. Caleb Rossiter about the campaign to silence climate debate on Facebook,"The writer is implying that climate change is being silenced on facebook
",t5_large,misinfo
"For several days, an article by a Spanish organization in which COVID-19 is an ""exosome influenced by electromagnetic pollution"" has been circulating on social media and WhatsApp.","The writer is implying that covid is transmitted through electromagnetic waves
",gpt2_large,misinfo
"For several days, an article by a Spanish organization in which COVID-19 is an ""exosome influenced by electromagnetic pollution"" has been circulating on social media and WhatsApp.","The writer is implying that covid is a hoax
",t5_base,misinfo
"For several days, an article by a Spanish organization in which COVID-19 is an ""exosome influenced by electromagnetic pollution"" has been circulating on social media and WhatsApp.","The writer is implying that covid is caused by electromagnetic pollution
",t5_large,misinfo
Facebook oversight board urged to tackle climate 'loophole'  Steyer & Podesta form group dedicated to censoring skeptics,"The writer is implying that climate change is a hoax
",gpt2_large,misinfo
Facebook oversight board urged to tackle climate 'loophole'  Steyer & Podesta form group dedicated to censoring skeptics,"The writer is implying that facebook is censoring climate change deniers
",t5_base,misinfo
Facebook oversight board urged to tackle climate 'loophole'  Steyer & Podesta form group dedicated to censoring skeptics,"The writer is implying that steyer & podesta form a group dedicated to censoring skeptics
",t5_large,misinfo
Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic.,"The writer is implying that chinese premier li keqiang had dinner in china
",gpt2_large,misinfo
Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic.,"The writer is implying that chinese premier li keqiang had dinner in wuhan during covid
",t5_base,misinfo
Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic.,"The writer is implying that chinese prime minister had dinner in wuhan
",t5_large,misinfo
The enhanced community quarantine or ECQ in several regions and cities in the Philippines has been extended until 6/15/2020.,"The writer is implying that the pandemic is still serious
",gpt2_large,misinfo
The enhanced community quarantine or ECQ in several regions and cities in the Philippines has been extended until 6/15/2020.,"The writer is implying that the pandemic is getting worse
",t5_base,misinfo
The enhanced community quarantine or ECQ in several regions and cities in the Philippines has been extended until 6/15/2020.,"The writer is implying that the pandemic isn't ending soon
",t5_large,misinfo
Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.,"The writer is implying that india is providing free covid treatments
",gpt2_large,misinfo
Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.,"The writer is implying that india is treating covid patients for free
",t5_base,misinfo
Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.,"The writer is implying that the indian prime minister cares about covid patients
",t5_large,misinfo
"Wisconsin is ""clearly seeing a decline in COVID infections"".","The writer is implying that covid is not spreading in florida
",gpt2_large,misinfo
"Wisconsin is ""clearly seeing a decline in COVID infections"".","The writer is implying that wisconsin is seeing a decline in covid infections
",t5_base,misinfo
"Wisconsin is ""clearly seeing a decline in COVID infections"".","The writer is implying that covid is decreasing in wisconsin
",t5_large,misinfo
Chinese police crack down on suspected coronavirus patients.,"The writer is implying that chinese govts is cracking down on covid
",gpt2_large,misinfo
Chinese police crack down on suspected coronavirus patients.,"The writer is implying that chinese police are cracking down on covid patients
",t5_base,misinfo
Chinese police crack down on suspected coronavirus patients.,"The writer is implying that chinese police are cracking down on suspected covid patients
",t5_large,misinfo
It's just unconscionable': Acclaimed environmentalist explains his STUNNING apology for 'climate scare',"The writer is implying that people shouldn't trust the media
",gpt2_large,misinfo
It's just unconscionable': Acclaimed environmentalist explains his STUNNING apology for 'climate scare',"The writer is implying that climate change is a hoax
",t5_base,misinfo
It's just unconscionable': Acclaimed environmentalist explains his STUNNING apology for 'climate scare',"The writer is implying that climate change is not real
",t5_large,misinfo
"Fast Company accidentally admits that plants thrive on carbon dioxide, the greenhouse gas that liberals claim will destroy the world... but it actually makes the world more GREEN","The writer is implying that climate change is a hoax
",gpt2_large,misinfo
"Fast Company accidentally admits that plants thrive on carbon dioxide, the greenhouse gas that liberals claim will destroy the world... but it actually makes the world more GREEN","The writer is implying that liberals are wrong about climate change
",t5_base,misinfo
"Fast Company accidentally admits that plants thrive on carbon dioxide, the greenhouse gas that liberals claim will destroy the world... but it actually makes the world more GREEN","The writer is implying that climate change isn't real
",t5_large,misinfo
"Spanish home office has not issued a statement announcing the complete closure of Madrid, the Basque Country and La Rioja.","The writer is implying that madrid is reopening
",gpt2_large,misinfo
"Spanish home office has not issued a statement announcing the complete closure of Madrid, the Basque Country and La Rioja.","The writer is implying that madrid, la rioja and the basque country are not closed
",t5_base,misinfo
"Spanish home office has not issued a statement announcing the complete closure of Madrid, the Basque Country and La Rioja.","The writer is implying that the spanish government isn't doing enough about covid
",t5_large,misinfo
The Health and Environmental Dangers of 5G Technology. A Lethal Multi-Trillion Dollar Operation,"The writer is implying that technology is dangerous
",gpt2_large,misinfo
The Health and Environmental Dangers of 5G Technology. A Lethal Multi-Trillion Dollar Operation,"The writer is implying that 5g is dangerous
",t5_base,misinfo
The Health and Environmental Dangers of 5G Technology. A Lethal Multi-Trillion Dollar Operation,"The writer is implying that 5g technology is dangerous
",t5_large,misinfo
New maps show how climate change is making California's 'fire Weather' worse,"The writer is implying that climate change is causing wildfires in california
",gpt2_large,misinfo
New maps show how climate change is making California's 'fire Weather' worse,"The writer is implying that california's wildfires are being caused by climate change
",t5_base,misinfo
New maps show how climate change is making California's 'fire Weather' worse,"The writer is implying that climate change is causing natural disasters
",t5_large,misinfo
Banks will only open Tuesday and Thursday in Mexico.,"The writer is implying that banks are reopening
",gpt2_large,misinfo
Banks will only open Tuesday and Thursday in Mexico.,"The writer is implying that banks will only be open in mexico on certain days
",t5_base,misinfo
Banks will only open Tuesday and Thursday in Mexico.,"The writer is implying that banks are only open on certain days in mexico
",t5_large,misinfo
American environmentalism's racist roots have shaped global thinking about conservation,"The writer is implying that the country has a long history of racism
",gpt2_large,misinfo
American environmentalism's racist roots have shaped global thinking about conservation,"The writer is implying that american environmentalists are racist
",t5_base,misinfo
American environmentalism's racist roots have shaped global thinking about conservation,"The writer is implying that environmentalists are racists
",t5_large,misinfo
"Kazakhstanis could have had the coronavirus in the fall or winter 2019, but due to the lack of test systems at that time, the disease remained undetected.","The writer is implying that kazakhstanis were not tested for covid
",gpt2_large,misinfo
"Kazakhstanis could have had the coronavirus in the fall or winter 2019, but due to the lack of test systems at that time, the disease remained undetected.","The writer is implying that kazakhstan had covid in the fall or winter of 2019
",t5_base,misinfo
"Kazakhstanis could have had the coronavirus in the fall or winter 2019, but due to the lack of test systems at that time, the disease remained undetected.","The writer is implying that kazakhstan could have had covid in the fall of 2019
",t5_large,misinfo
"According to Plamen Paskov, there will be no second wave of COVID-19 since there has never been the first one.","The writer is implying that the pandemic is a hoax
",gpt2_large,misinfo
"According to Plamen Paskov, there will be no second wave of COVID-19 since there has never been the first one.","The writer is implying that there will be no second wave of covid
",t5_base,misinfo
"According to Plamen Paskov, there will be no second wave of COVID-19 since there has never been the first one.","The writer is implying that there is no second wave of covid
",t5_large,misinfo
German doctors get paid extra if they note Covid-19 as the cause of death on the death certificate,"The writer is implying that doctors are being paid to report covid deaths
",gpt2_large,misinfo
German doctors get paid extra if they note Covid-19 as the cause of death on the death certificate,"The writer is implying that german doctors are paid extra if they note covid as the cause of death
",t5_base,misinfo
German doctors get paid extra if they note Covid-19 as the cause of death on the death certificate,"The writer is implying that german doctors get paid extra if they list covid as cause of death
",t5_large,misinfo
Tycoon turns harmful greenhouse gases into DIAMONDS by using excess carbon from the atmosphere,"The writer is implying that people should not trust this person
",gpt2_large,misinfo
Tycoon turns harmful greenhouse gases into DIAMONDS by using excess carbon from the atmosphere,"The writer is implying that tycoons are using excess carbon from the atmosphere to turn harmful greenhouse gases into dander
",t5_base,misinfo
Tycoon turns harmful greenhouse gases into DIAMONDS by using excess carbon from the atmosphere,"The writer is implying that tycoon turns greenhouse gases into diamonds
",t5_large,misinfo
The US hospitals inflate the number of COVID-19 cases and deaths so they can receive more money.,"The writer is implying that the government is corrupt
",gpt2_large,misinfo
The US hospitals inflate the number of COVID-19 cases and deaths so they can receive more money.,"The writer is implying that hospitals are inflating covid numbers
",t5_base,misinfo
The US hospitals inflate the number of COVID-19 cases and deaths so they can receive more money.,"The writer is implying that hospitals are lying about covid numbers
",t5_large,misinfo
"Some reporters visited the British Prime Minister Boris Johnson after he recovered from his illness. His home looks like an old abandoned military hut with very old brick walls. The living room was too small so brought out the tea tray for the reporters. All the cups are different. He met them with disheveled hair and casual clothes, but with the confident smile of a Prime Minister","The writer is implying that british prime minister boris johnson is a liar
",gpt2_large,misinfo
"Some reporters visited the British Prime Minister Boris Johnson after he recovered from his illness. His home looks like an old abandoned military hut with very old brick walls. The living room was too small so brought out the tea tray for the reporters. All the cups are different. He met them with disheveled hair and casual clothes, but with the confident smile of a Prime Minister","The writer is implying that boris johnson is a hypocrite
",t5_base,misinfo
"Some reporters visited the British Prime Minister Boris Johnson after he recovered from his illness. His home looks like an old abandoned military hut with very old brick walls. The living room was too small so brought out the tea tray for the reporters. All the cups are different. He met them with disheveled hair and casual clothes, but with the confident smile of a Prime Minister","The writer is implying that prime minister boris johnson has an unusual home
",t5_large,misinfo
Jane Fonda: We need 'unprecedented numbers of people' demanding action on climate change,"The writer is implying that fonda is concerned about climate change
",gpt2_large,misinfo
Jane Fonda: We need 'unprecedented numbers of people' demanding action on climate change,"The writer is implying that jane fonda wants people to take action on climate change
",t5_base,misinfo
Jane Fonda: We need 'unprecedented numbers of people' demanding action on climate change,"The writer is implying that jane fonda thinks we need to do more about climate change
",t5_large,misinfo
"De Niro, Madonna Use Coronavirus to Demand Climate Change Reforms: 'Massive Extinction of Life No Longer in Doubt'","The writer is implying that celebrities are using covid to fight climate change
",gpt2_large,misinfo
"De Niro, Madonna Use Coronavirus to Demand Climate Change Reforms: 'Massive Extinction of Life No Longer in Doubt'","The writer is implying that the celebrity is a hypocrite
",t5_base,misinfo
"De Niro, Madonna Use Coronavirus to Demand Climate Change Reforms: 'Massive Extinction of Life No Longer in Doubt'","The writer is implying that de niro and madonna believe in climate change
",t5_large,misinfo
CDC warns people that morel mushroom increases coronavirus risk by 200%.,"The writer is implying that covid can be spread through mushrooms
",gpt2_large,misinfo
CDC warns people that morel mushroom increases coronavirus risk by 200%.,"The writer is implying that morel mushroom increases covid risk by 200%
",t5_base,misinfo
CDC warns people that morel mushroom increases coronavirus risk by 200%.,"The writer is implying that the cdc says mushrooms increase covid risk by 200%
",t5_large,misinfo
"One in three Tory members believe human activity not responsible for climate change, survey finds","The writer is implying that tory members don't believe climate change is happening
",gpt2_large,misinfo
"One in three Tory members believe human activity not responsible for climate change, survey finds","The writer is implying that tory members believe human activities are not responsible for climate change
",t5_base,misinfo
"One in three Tory members believe human activity not responsible for climate change, survey finds","The writer is implying that the political party is not concerned about climate change
",t5_large,misinfo
Missouri students will have to repeat the school year because of COVID-19 school closings.,"The writer is implying that schools are reopening
",gpt2_large,misinfo
Missouri students will have to repeat the school year because of COVID-19 school closings.,"The writer is implying that covid-19 is causing school closures in monaco
",t5_base,misinfo
Missouri students will have to repeat the school year because of COVID-19 school closings.,"The writer is implying that schools are closed due to covid
",t5_large,misinfo
"Hospitals in the United States get paid $750 for patients who die from the flu, $17,500 for COVID-19.","The writer is implying that the government is corrupt
",gpt2_large,misinfo
"Hospitals in the United States get paid $750 for patients who die from the flu, $17,500 for COVID-19.","The writer is implying that hospitals get paid for covid patients
",t5_base,misinfo
"Hospitals in the United States get paid $750 for patients who die from the flu, $17,500 for COVID-19.","The writer is implying that hospitals in the us get paid to treat covid patients
",t5_large,misinfo
"There is a positive case of the novel coronavirus (nCoV) in a hospital in Banlic, Cabuyao City, Laguna, Philippines in January 2020.","The writer is implying that covid cases are increasing rapidly
",gpt2_large,misinfo
"There is a positive case of the novel coronavirus (nCoV) in a hospital in Banlic, Cabuyao City, Laguna, Philippines in January 2020.","The writer is implying that covid is spreading in philippines
",t5_base,misinfo
"There is a positive case of the novel coronavirus (nCoV) in a hospital in Banlic, Cabuyao City, Laguna, Philippines in January 2020.","The writer is implying that covid is spreading in the philippines
",t5_large,misinfo
Watch: Seven Classic 'Saturday Night Live' Sketches That Would Be Banned in Today's Woke Climate,"The writer is implying that climate change is not real
",gpt2_large,misinfo
Watch: Seven Classic 'Saturday Night Live' Sketches That Would Be Banned in Today's Woke Climate,"The writer is implying that there are sketches that would be banned due to climate change
",t5_base,misinfo
Watch: Seven Classic 'Saturday Night Live' Sketches That Would Be Banned in Today's Woke Climate,"The writer is implying that people are becoming more concerned about climate change.
",t5_large,misinfo
Sen. Merkley: Trump's Climate Change Denial 'Willful Ignorance',"The writer is implying that the president doesn't believe in climate change
",gpt2_large,misinfo
Sen. Merkley: Trump's Climate Change Denial 'Willful Ignorance',"The writer is implying that trump does not believe in climate change
",t5_base,misinfo
Sen. Merkley: Trump's Climate Change Denial 'Willful Ignorance',"The writer is implying that trump denies climate change
",t5_large,misinfo
CDC has released an update on how the novel coronavirus can be transmitted,"The writer is implying that covid is spreading
",gpt2_large,misinfo
CDC has released an update on how the novel coronavirus can be transmitted,"The writer is implying that the cdc has information about how covid can be transmitted
",t5_base,misinfo
CDC has released an update on how the novel coronavirus can be transmitted,"The writer is implying that the cdc has more information on how covid can be transmitted
",t5_large,misinfo
Hainan's Haikou presents the plan on bettering business climate,"The writer is implying that hainan's haikou has a plan to help businesses
",gpt2_large,misinfo
Hainan's Haikou presents the plan on bettering business climate,"The writer is implying that business climate is improving
",t5_base,misinfo
Hainan's Haikou presents the plan on bettering business climate,"The writer is implying that hainan's haikou cares about climate change
",t5_large,misinfo
"""Dr Browman, a marine scientist for 35 years, said he was not saying that ocean acidification posed no threat, but that he believed that ""a higher level of academic scepticism"" should be applied to the topic.","The writer is implying that the author is implying
",gpt2_large,misinfo
"""Dr Browman, a marine scientist for 35 years, said he was not saying that ocean acidification posed no threat, but that he believed that ""a higher level of academic scepticism"" should be applied to the topic.","The writer is implying that climate change is a serious issue
",t5_base,misinfo
"""Dr Browman, a marine scientist for 35 years, said he was not saying that ocean acidification posed no threat, but that he believed that ""a higher level of academic scepticism"" should be applied to the topic.","The writer is implying that ocean acidification is not a threat
",t5_large,misinfo
"A picture allegedly showing Barack Obama, Anthony Fauci and Melinda Gates visiting a Wuhan laboratory, in 2015.","The writer is implying that the three of them are lying to us
",gpt2_large,misinfo
"A picture allegedly showing Barack Obama, Anthony Fauci and Melinda Gates visiting a Wuhan laboratory, in 2015.","The writer is implying that obama, fauci and gates visited a lab in wuhan in 2015
",t5_base,misinfo
"A picture allegedly showing Barack Obama, Anthony Fauci and Melinda Gates visiting a Wuhan laboratory, in 2015.","The writer is implying that obama, fauci and gates visited a lab in china
",t5_large,misinfo
"""It's actually the safest time to fly.""","The writer is implying that flying is safe
",gpt2_large,misinfo
"""It's actually the safest time to fly.""","The writer is implying that it's safe to fly
",t5_base,misinfo
"""It's actually the safest time to fly.""","The writer is implying that it's safe to fly during the pandemic
",t5_large,misinfo
"US President Donald Trump said during the US presidential debate on Wednesday, September 30, that he ""wears masks when needed.""","The writer is implying that masks are effective against covid-19
",gpt2_large,misinfo
"US President Donald Trump said during the US presidential debate on Wednesday, September 30, that he ""wears masks when needed.""","The writer is implying that trump doesn't believe in masks
",t5_base,misinfo
"US President Donald Trump said during the US presidential debate on Wednesday, September 30, that he ""wears masks when needed.""","The writer is implying that trump wears masks
",t5_large,misinfo
EU Commission president Ursula von der Leyen proposed for workers to do without their salary in solidarity with the economy.,"The writer is implying that the eu doesn't care about its' people
",gpt2_large,misinfo
EU Commission president Ursula von der Leyen proposed for workers to do without their salary in solidarity with the economy.,"The writer is implying that eu commission president ursula von der leyen wants to make people do without their salary
",t5_base,misinfo
EU Commission president Ursula von der Leyen proposed for workers to do without their salary in solidarity with the economy.,"The writer is implying that eu commission president ursula von der leyen wants workers to do without their salary
",t5_large,misinfo
Queen Elizabeth II is infected with the new coronavirus.,"The writer is implying that the queen has covid
",gpt2_large,misinfo
Queen Elizabeth II is infected with the new coronavirus.,"The writer is implying that queen elizabeth ii is infected with covid
",t5_base,misinfo
Queen Elizabeth II is infected with the new coronavirus.,"The writer is implying that the queen is infected with covid
",t5_large,misinfo
Central government has given permission for schools to re-open.,"The writer is implying that schools will reopen
",gpt2_large,misinfo
Central government has given permission for schools to re-open.,"The writer is implying that schools are reopening
",t5_base,misinfo
Central government has given permission for schools to re-open.,"The writer is implying that schools will reopen soon
",t5_large,misinfo
How climate change is contributing to skyrocketing rates of infectious disease,"The writer is implying that climate change is making people sick
",gpt2_large,misinfo
How climate change is contributing to skyrocketing rates of infectious disease,"The writer is implying that climate change is causing more infectious diseases
",t5_base,misinfo
How climate change is contributing to skyrocketing rates of infectious disease,"The writer is implying that climate change is causing the spread of disease
",t5_large,misinfo
"Says Wisconsin's in-person election has caused a ""surge"" in new coronavirus cases","The writer is implying that covid is spreading more
",gpt2_large,misinfo
"Says Wisconsin's in-person election has caused a ""surge"" in new coronavirus cases","The writer is implying that the election has caused a spike in covid cases
",t5_base,misinfo
"Says Wisconsin's in-person election has caused a ""surge"" in new coronavirus cases","The writer is implying that covid is spreading in wisconsin
",t5_large,misinfo
"Joe Biden has ""written a letter of apology"" for calling Trump's travel restrictions from China ""xenophobic.""","The writer is implying that the president doesn't care about the environment
",gpt2_large,misinfo
"Joe Biden has ""written a letter of apology"" for calling Trump's travel restrictions from China ""xenophobic.""","The writer is implying that joe biden wrote an apology for calling trump's travel restrictions from china xenophobic
",t5_base,misinfo
"Joe Biden has ""written a letter of apology"" for calling Trump's travel restrictions from China ""xenophobic.""","The writer is implying that biden apologized to trump for his travel restrictions
",t5_large,misinfo
"If Solar's Cheaper Than Coal As Claimed, Have We Beaten Climate Change?","The writer is implying that solar power is better than coal
",gpt2_large,misinfo
"If Solar's Cheaper Than Coal As Claimed, Have We Beaten Climate Change?","The writer is implying that solar energy is cheaper than coal
",t5_base,misinfo
"If Solar's Cheaper Than Coal As Claimed, Have We Beaten Climate Change?","The writer is implying that solar power is more environmentally friendly than coal
",t5_large,misinfo
Russian academic Valentyn Katasov argued that the Shadow Rulers planned the COVID pandemic to insert microchips into people.,"The writer is implying that the shadow rulers are evil
",gpt2_large,misinfo
Russian academic Valentyn Katasov argued that the Shadow Rulers planned the COVID pandemic to insert microchips into people.,"The writer is implying that russian academic valentyn katasov said the shadow rulers planned covid
",t5_base,misinfo
Russian academic Valentyn Katasov argued that the Shadow Rulers planned the COVID pandemic to insert microchips into people.,"The writer is implying that microchips will be implanted into people
",t5_large,misinfo
"Every day in Germany more people die because of wrong medical treatment, misuse of drugs or hospital germs than of Covid-19","The writer is implying that covid is not as bad as we thought
",gpt2_large,misinfo
"Every day in Germany more people die because of wrong medical treatment, misuse of drugs or hospital germs than of Covid-19","The writer is implying that covid isn't that bad
",t5_base,misinfo
"Every day in Germany more people die because of wrong medical treatment, misuse of drugs or hospital germs than of Covid-19","The writer is implying that the pandemic isn't that bad
",t5_large,misinfo
"CBS News used pictures from a hospital in Bergamo, Italy, in a report about New York to mislead viewers.","The writer is implying that cbs news is lying about new york
",gpt2_large,misinfo
"CBS News used pictures from a hospital in Bergamo, Italy, in a report about New York to mislead viewers.","The writer is implying that cbs news misleads people
",t5_base,misinfo
"CBS News used pictures from a hospital in Bergamo, Italy, in a report about New York to mislead viewers.","The writer is implying that cbs news is lying to people about covid
",t5_large,misinfo
Roche has developed a COVID-19 vaccine.,"The writer is implying that there is a cure for covid
",gpt2_large,misinfo
Roche has developed a COVID-19 vaccine.,"The writer is implying that a vaccine has been developed
",t5_base,misinfo
