id,sentence,inference,model,label,text
151,New Coronavirus Stable for Hours on Surfaces,"The writer is implying that coronavirus can be spread easily on surfaces
",t5_base,real,"Headline: New Coronavirus Stable for Hours on Surfaces
Inference: The writer is implying that coronavirus can be spread easily on surfaces
"
152,New Coronavirus Stable for Hours on Surfaces,"The writer is implying that covid can be spread on surfaces
",t5_large,real,"Headline: New Coronavirus Stable for Hours on Surfaces
Inference: The writer is implying that covid can be spread on surfaces
"
153,"As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns","The writer is implying that the un chief is worried about climate change
",gpt2_large,real,"Headline: As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns
Inference: The writer is implying that the un chief is worried about climate change
"
154,"As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns","The writer is implying that the un chief is worried about fiddling while the planet is burning
",t5_base,real,"Headline: As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns
Inference: The writer is implying that the un chief is worried about fiddling while the planet is burning
"
155,"As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns","The writer is implying that climate change is causing natural disasters
",t5_large,real,"Headline: As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns
Inference: The writer is implying that climate change is causing natural disasters
"
156,'Are a cow's farts the worst for the planet?' Children's climate questions answered,"The writer is implying that children care about climate change
",gpt2_large,real,"Headline: 'Are a cow's farts the worst for the planet?' Children's climate questions answered
Inference: The writer is implying that children care about climate change
"
157,'Are a cow's farts the worst for the planet?' Children's climate questions answered,"The writer is implying that cow farts are bad for the environment
",t5_base,real,"Headline: 'Are a cow's farts the worst for the planet?' Children's climate questions answered
Inference: The writer is implying that cow farts are bad for the environment
"
158,'Are a cow's farts the worst for the planet?' Children's climate questions answered,"The writer is implying that children have questions about climate change
",t5_large,real,"Headline: 'Are a cow's farts the worst for the planet?' Children's climate questions answered
Inference: The writer is implying that children have questions about climate change
"
159,"You Are the Heroes,' Comedians Tell Clinicians, Part 2","The writer is implying that the comedians are proud of healthcare workers
",gpt2_large,real,"Headline: You Are the Heroes,' Comedians Tell Clinicians, Part 2
Inference: The writer is implying that the comedians are proud of healthcare workers
"
160,"You Are the Heroes,' Comedians Tell Clinicians, Part 2","The writer is implying that doctors are heroes
",t5_base,real,"Headline: You Are the Heroes,' Comedians Tell Clinicians, Part 2
Inference: The writer is implying that doctors are heroes
"
161,"You Are the Heroes,' Comedians Tell Clinicians, Part 2","The writer is implying that the comedians appreciate the healthcare workers
",t5_large,real,"Headline: You Are the Heroes,' Comedians Tell Clinicians, Part 2
Inference: The writer is implying that the comedians appreciate the healthcare workers
"
162,"Treating COVID-19: Bipolar drug shows promise, other","The writer is implying that bipolar drugs might be able to treat covid
",gpt2_large,real,"Headline: Treating COVID-19: Bipolar drug shows promise, other
Inference: The writer is implying that bipolar drugs might be able to treat covid
"
163,"Treating COVID-19: Bipolar drug shows promise, other","The writer is implying that there is a new treatment for covid
",t5_base,real,"Headline: Treating COVID-19: Bipolar drug shows promise, other
Inference: The writer is implying that there is a new treatment for covid
"
164,"Treating COVID-19: Bipolar drug shows promise, other","The writer is implying that there are new treatments for covid
",t5_large,real,"Headline: Treating COVID-19: Bipolar drug shows promise, other
Inference: The writer is implying that there are new treatments for covid
"
165,Should Docs Stop Providing Routine Care in the Era of COVID-19?,"The writer is implying that doctors should not provide routine care
",gpt2_large,real,"Headline: Should Docs Stop Providing Routine Care in the Era of COVID-19?
Inference: The writer is implying that doctors should not provide routine care
"
166,Should Docs Stop Providing Routine Care in the Era of COVID-19?,"The writer is implying that docs should stop providing routine care during the pandemic
",t5_base,real,"Headline: Should Docs Stop Providing Routine Care in the Era of COVID-19?
Inference: The writer is implying that docs should stop providing routine care during the pandemic
"
167,Should Docs Stop Providing Routine Care in the Era of COVID-19?,"The writer is implying that doctors may not be able to provide routine care due to covid
",t5_large,real,"Headline: Should Docs Stop Providing Routine Care in the Era of COVID-19?
Inference: The writer is implying that doctors may not be able to provide routine care due to covid
"
168,Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change,"The writer is implying that tory mps are hypocritical
",gpt2_large,real,"Headline: Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change
Inference: The writer is implying that tory mps are hypocritical
"
169,Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change,"The writer is implying that tory mp complains about taking flights
",t5_base,real,"Headline: Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change
Inference: The writer is implying that tory mp complains about taking flights
"
170,Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change,"The writer is implying that the tory mp supports climate change
",t5_large,real,"Headline: Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change
Inference: The writer is implying that the tory mp supports climate change
"
171,COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,"The writer is implying that doctors in iran dance to defy covid restrictions
",gpt2_large,real,"Headline: COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus
Inference: The writer is implying that doctors in iran dance to defy covid restrictions
"
172,COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,"The writer is implying that doctors in iran care about covid
",t5_base,real,"Headline: COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus
Inference: The writer is implying that doctors in iran care about covid
"
173,COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,"The writer is implying that iran doctors dance to fight covid
",t5_large,real,"Headline: COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus
Inference: The writer is implying that iran doctors dance to fight covid
"
174,New York approves ambitious climate change plan to lead the US on environment,"The writer is implying that new york approved a climate change plan
",gpt2_large,real,"Headline: New York approves ambitious climate change plan to lead the US on environment
Inference: The writer is implying that new york approved a climate change plan
"
175,New York approves ambitious climate change plan to lead the US on environment,"The writer is implying that ny approves climate change plan
",t5_base,real,"Headline: New York approves ambitious climate change plan to lead the US on environment
Inference: The writer is implying that ny approves climate change plan
"
176,New York approves ambitious climate change plan to lead the US on environment,"The writer is implying that new york approves climate change plan
",t5_large,real,"Headline: New York approves ambitious climate change plan to lead the US on environment
Inference: The writer is implying that new york approves climate change plan
"
177,Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos,"The writer is implying that the president doesn't believe in science
",gpt2_large,real,"Headline: Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos
Inference: The writer is implying that the president doesn't believe in science
"
178,Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos,"The writer is implying that trump does not believe in climate change
",t5_base,real,"Headline: Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos
Inference: The writer is implying that trump does not believe in climate change
"
179,Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos,"The writer is implying that trump doesn't believe in climate change
",t5_large,real,"Headline: Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos
Inference: The writer is implying that trump doesn't believe in climate change
"
180,Climate change will cost US economy billions of dollars report finds,"The writer is implying that climate change is bad for the economy
",gpt2_large,real,"Headline: Climate change will cost US economy billions of dollars report finds
Inference: The writer is implying that climate change is bad for the economy
"
181,Climate change will cost US economy billions of dollars report finds,"The writer is implying that climate change will cost us economy billions of dollars
",t5_base,real,"Headline: Climate change will cost US economy billions of dollars report finds
Inference: The writer is implying that climate change will cost us economy billions of dollars
"
182,Climate change will cost US economy billions of dollars report finds,"The writer is implying that climate change is costing the us economy billions of dollars
",t5_large,real,"Headline: Climate change will cost US economy billions of dollars report finds
Inference: The writer is implying that climate change is costing the us economy billions of dollars
"
183,100 American Flight Attendants Have COVID-19,"The writer is implying that the pandemic is serious
",gpt2_large,real,"Headline: 100 American Flight Attendants Have COVID-19
Inference: The writer is implying that the pandemic is serious
"
184,100 American Flight Attendants Have COVID-19,"The writer is implying that covid is spreading in america
",t5_base,real,"Headline: 100 American Flight Attendants Have COVID-19
Inference: The writer is implying that covid is spreading in america
"
185,100 American Flight Attendants Have COVID-19,"The writer is implying that covid is spreading on flights
",t5_large,real,"Headline: 100 American Flight Attendants Have COVID-19
Inference: The writer is implying that covid is spreading on flights
"
186,Leaders move past Trump to protect world from climate change,"The writer is implying that the president doesn't care about the environment
",gpt2_large,real,"Headline: Leaders move past Trump to protect world from climate change
Inference: The writer is implying that the president doesn't care about the environment
"
187,Leaders move past Trump to protect world from climate change,"The writer is implying that trump does not care about climate change
",t5_base,real,"Headline: Leaders move past Trump to protect world from climate change
Inference: The writer is implying that trump does not care about climate change
"
188,Leaders move past Trump to protect world from climate change,"The writer is implying that trump doesn't care about climate change
",t5_large,real,"Headline: Leaders move past Trump to protect world from climate change
Inference: The writer is implying that trump doesn't care about climate change
"
189,"Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says","The writer is implying that climate change is not real
",gpt2_large,real,"Headline: Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says
Inference: The writer is implying that climate change is not real
"
190,"Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says","The writer is implying that climate change is hurting the poorest
",t5_base,real,"Headline: Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says
Inference: The writer is implying that climate change is hurting the poorest
"
191,"Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says","The writer is implying that the uk economy has grown due to climate change
",t5_large,real,"Headline: Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says
Inference: The writer is implying that the uk economy has grown due to climate change
"
192,"Netflix walruses were driven to death by polar bears not climate change, claims zoologist","The writer is implying that climate change isn't real
",gpt2_large,real,"Headline: Netflix walruses were driven to death by polar bears not climate change, claims zoologist
Inference: The writer is implying that climate change isn't real
"
193,"Netflix walruses were driven to death by polar bears not climate change, claims zoologist","The writer is implying that polar bears are not caused by climate change
",t5_base,real,"Headline: Netflix walruses were driven to death by polar bears not climate change, claims zoologist
Inference: The writer is implying that polar bears are not caused by climate change
"
194,"Netflix walruses were driven to death by polar bears not climate change, claims zoologist","The writer is implying that polar bears are driven to death by climate change
",t5_large,real,"Headline: Netflix walruses were driven to death by polar bears not climate change, claims zoologist
Inference: The writer is implying that polar bears are driven to death by climate change
"
195,Using My Music To Change My Environment Away From Gangs,"The writer is implying that people are using music to fight climate change
",gpt2_large,real,"Headline: Using My Music To Change My Environment Away From Gangs
Inference: The writer is implying that people are using music to fight climate change
"
196,Using My Music To Change My Environment Away From Gangs,"The writer is implying that music is being used to change the environment
",t5_base,real,"Headline: Using My Music To Change My Environment Away From Gangs
Inference: The writer is implying that music is being used to change the environment
"
197,Using My Music To Change My Environment Away From Gangs,"The writer is implying that people are using music to change the environment
",t5_large,real,"Headline: Using My Music To Change My Environment Away From Gangs
Inference: The writer is implying that people are using music to change the environment
"
198,Teenage British Activist Stages Climate Protest on Arctic Ice Floe,"The writer is implying that the younger generation cares about climate change
",gpt2_large,real,"Headline: Teenage British Activist Stages Climate Protest on Arctic Ice Floe
Inference: The writer is implying that the younger generation cares about climate change
"
199,Teenage British Activist Stages Climate Protest on Arctic Ice Floe,"The writer is implying that a teenager staged a climate protest
",t5_base,real,"Headline: Teenage British Activist Stages Climate Protest on Arctic Ice Floe
Inference: The writer is implying that a teenager staged a climate protest
"
200,Teenage British Activist Stages Climate Protest on Arctic Ice Floe,"The writer is implying that teens are protesting climate change on ice floes
",t5_large,real,"Headline: Teenage British Activist Stages Climate Protest on Arctic Ice Floe
Inference: The writer is implying that teens are protesting climate change on ice floes
"
201,How to increase lung capacity: Simple exercises,"The writer is implying that there are simple ways to increase lung capacity
",gpt2_large,real,"Headline: How to increase lung capacity: Simple exercises
Inference: The writer is implying that there are simple ways to increase lung capacity
"
202,How to increase lung capacity: Simple exercises,"The writer is implying that there are ways to increase lung capacity
",t5_base,real,"Headline: How to increase lung capacity: Simple exercises
Inference: The writer is implying that there are ways to increase lung capacity
"
203,How to increase lung capacity: Simple exercises,"The writer is implying that exercises can increase lung capacity
",t5_large,real,"Headline: How to increase lung capacity: Simple exercises
Inference: The writer is implying that exercises can increase lung capacity
"
204,"With California ablaze, Newsom blasts Trump administration for failing to fight climate change","The writer is implying that not all government officials are on the same page
",gpt2_large,real,"Headline: With California ablaze, Newsom blasts Trump administration for failing to fight climate change
Inference: The writer is implying that not all government officials are on the same page
"
205,"With California ablaze, Newsom blasts Trump administration for failing to fight climate change","The writer is implying that trump does not care about the environment
",t5_base,real,"Headline: With California ablaze, Newsom blasts Trump administration for failing to fight climate change
Inference: The writer is implying that trump does not care about the environment
"
206,"With California ablaze, Newsom blasts Trump administration for failing to fight climate change","The writer is implying that california is burning due to climate change
",t5_large,real,"Headline: With California ablaze, Newsom blasts Trump administration for failing to fight climate change
Inference: The writer is implying that california is burning due to climate change
"
207,Climate SOS: Five-year period ending 2019 to be hottest on record,"The writer is implying that the earth is heating up
",gpt2_large,real,"Headline: Climate SOS: Five-year period ending 2019 to be hottest on record
Inference: The writer is implying that the earth is heating up
"
208,Climate SOS: Five-year period ending 2019 to be hottest on record,"The writer is implying that the earth is getting hotter
",t5_base,real,"Headline: Climate SOS: Five-year period ending 2019 to be hottest on record
Inference: The writer is implying that the earth is getting hotter
"
209,Climate SOS: Five-year period ending 2019 to be hottest on record,"The writer is implying that climate change is real
",t5_large,real,"Headline: Climate SOS: Five-year period ending 2019 to be hottest on record
Inference: The writer is implying that climate change is real
"
210,COVID-19 Is More Severe in Smokers,"The writer is implying that smokers are more susceptible to covid
",gpt2_large,real,"Headline: COVID-19 Is More Severe in Smokers
Inference: The writer is implying that smokers are more susceptible to covid
"
211,COVID-19 Is More Severe in Smokers,"The writer is implying that smokers are more vulnerable to covid
",t5_base,real,"Headline: COVID-19 Is More Severe in Smokers
Inference: The writer is implying that smokers are more vulnerable to covid
"
212,COVID-19 Is More Severe in Smokers,"The writer is implying that smokers are more at risk
",t5_large,real,"Headline: COVID-19 Is More Severe in Smokers
Inference: The writer is implying that smokers are more at risk
"
213,Hospitals Put to Test as COVID-19 Strains ICUs,"The writer is implying that hospitals are testing for covid
",gpt2_large,real,"Headline: Hospitals Put to Test as COVID-19 Strains ICUs
Inference: The writer is implying that hospitals are testing for covid
"
214,Hospitals Put to Test as COVID-19 Strains ICUs,"The writer is implying that hospitals are being tested for covid
",t5_base,real,"Headline: Hospitals Put to Test as COVID-19 Strains ICUs
Inference: The writer is implying that hospitals are being tested for covid
"
215,Hospitals Put to Test as COVID-19 Strains ICUs,"The writer is implying that covid is spreading in hospitals
",t5_large,real,"Headline: Hospitals Put to Test as COVID-19 Strains ICUs
Inference: The writer is implying that covid is spreading in hospitals
"
216,"""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""","The writer is implying that the government is not doing enough to protect workers
",gpt2_large,real,"Headline: ""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""
Inference: The writer is implying that the government is not doing enough to protect workers
"
217,"""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""","The writer is implying that biden says trump is not doing enough to protect workers
",t5_base,real,"Headline: ""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""
Inference: The writer is implying that biden says trump is not doing enough to protect workers
"
218,"""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""","The writer is implying that biden says trump is not doing enough to protect workers from covid
",t5_large,real,"Headline: ""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""
Inference: The writer is implying that biden says trump is not doing enough to protect workers from covid
"
219,Strategies for Optimizing the Supply of Isolation Gowns,"The writer is implying that isolation gowns can be used to treat covid
",gpt2_large,real,"Headline: Strategies for Optimizing the Supply of Isolation Gowns
Inference: The writer is implying that isolation gowns can be used to treat covid
"
220,Strategies for Optimizing the Supply of Isolation Gowns,"The writer is implying that there is a shortage of isolation gowns
",t5_base,real,"Headline: Strategies for Optimizing the Supply of Isolation Gowns
Inference: The writer is implying that there is a shortage of isolation gowns
"
221,Strategies for Optimizing the Supply of Isolation Gowns,"The writer is implying that there are strategies to optimize the supply of isolation gowns
",t5_large,real,"Headline: Strategies for Optimizing the Supply of Isolation Gowns
Inference: The writer is implying that there are strategies to optimize the supply of isolation gowns
"
222,Protect your privacy and the environment while upgrading your gear,"The writer is implying that there are new ways to protect yourself
",gpt2_large,real,"Headline: Protect your privacy and the environment while upgrading your gear
Inference: The writer is implying that there are new ways to protect yourself
"
223,Protect your privacy and the environment while upgrading your gear,"The writer is implying that people should upgrade their gear
",t5_base,real,"Headline: Protect your privacy and the environment while upgrading your gear
Inference: The writer is implying that people should upgrade their gear
"
224,Protect your privacy and the environment while upgrading your gear,"The writer is implying that upgrading your gear is good for the environment
",t5_large,real,"Headline: Protect your privacy and the environment while upgrading your gear
Inference: The writer is implying that upgrading your gear is good for the environment
"
225,MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan,"The writer is implying that the government is not doing enough to fight climate change
",gpt2_large,real,"Headline: MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan
Inference: The writer is implying that the government is not doing enough to fight climate change
"
226,MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan,"The writer is implying that mps and environmental groups accuse theresa may of betraying climate change
",t5_base,real,"Headline: MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan
Inference: The writer is implying that mps and environmental groups accuse theresa may of betraying climate change
"
227,MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan,"The writer is implying that the prime minister doesn't care about climate change
",t5_large,real,"Headline: MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan
Inference: The writer is implying that the prime minister doesn't care about climate change
"
228,How to deal with the climate emergency? Ask your neighbor.,"The writer is implying that people can help
",gpt2_large,real,"Headline: How to deal with the climate emergency? Ask your neighbor.
Inference: The writer is implying that people can help
"
229,How to deal with the climate emergency? Ask your neighbor.,"The writer is implying that there are ways to deal with climate change
",t5_base,real,"Headline: How to deal with the climate emergency? Ask your neighbor.
Inference: The writer is implying that there are ways to deal with climate change
"
230,How to deal with the climate emergency? Ask your neighbor.,"The writer is implying that climate change is real
",t5_large,real,"Headline: How to deal with the climate emergency? Ask your neighbor.
Inference: The writer is implying that climate change is real
"
231,Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet,"The writer is implying that climate change is real
",gpt2_large,real,"Headline: Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet
Inference: The writer is implying that climate change is real
"
232,Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet,"The writer is implying that labour cares about the environment
",t5_base,real,"Headline: Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet
Inference: The writer is implying that labour cares about the environment
"
233,Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet,"The writer is implying that labour cares about climate change
",t5_large,real,"Headline: Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet
Inference: The writer is implying that labour cares about climate change
"
234,"Santa Clara County, California Community Mitigation","The writer is implying that california communities are doing a good job with the pandemic
",gpt2_large,real,"Headline: Santa Clara County, California Community Mitigation
Inference: The writer is implying that california communities are doing a good job with the pandemic
"
235,"Santa Clara County, California Community Mitigation","The writer is implying that california has a community mitigation plan
",t5_base,real,"Headline: Santa Clara County, California Community Mitigation
Inference: The writer is implying that california has a community mitigation plan
"
236,"Santa Clara County, California Community Mitigation","The writer is implying that california is dealing with the pandemic
",t5_large,real,"Headline: Santa Clara County, California Community Mitigation
Inference: The writer is implying that california is dealing with the pandemic
"
237,Forests 'in the front line of Ireland's response to climate change',"The writer is implying that forests are being harmed by climate change
",gpt2_large,real,"Headline: Forests 'in the front line of Ireland's response to climate change'
Inference: The writer is implying that forests are being harmed by climate change
"
238,Forests 'in the front line of Ireland's response to climate change',"The writer is implying that ireland cares about climate change
",t5_base,real,"Headline: Forests 'in the front line of Ireland's response to climate change'
Inference: The writer is implying that ireland cares about climate change
"
239,Forests 'in the front line of Ireland's response to climate change',"The writer is implying that ireland's forests are being affected by climate change
",t5_large,real,"Headline: Forests 'in the front line of Ireland's response to climate change'
Inference: The writer is implying that ireland's forests are being affected by climate change
"
240,Kids are striking over climate change because adults are too infantile | Richard Russell,"The writer is implying that kids are striking against climate change
",gpt2_large,real,"Headline: Kids are striking over climate change because adults are too infantile | Richard Russell
Inference: The writer is implying that kids are striking against climate change
"
241,Kids are striking over climate change because adults are too infantile | Richard Russell,"The writer is implying that kids are striking over climate change because adults are too infantile
",t5_base,real,"Headline: Kids are striking over climate change because adults are too infantile | Richard Russell
Inference: The writer is implying that kids are striking over climate change because adults are too infantile
"
242,Kids are striking over climate change because adults are too infantile | Richard Russell,"The writer is implying that kids are striking over climate change
",t5_large,real,"Headline: Kids are striking over climate change because adults are too infantile | Richard Russell
Inference: The writer is implying that kids are striking over climate change
"
243,Jay Inslee Demands Climate Action Now: 'The World's On Fire',"The writer is implying that climate change is burning
",gpt2_large,real,"Headline: Jay Inslee Demands Climate Action Now: 'The World's On Fire'
Inference: The writer is implying that climate change is burning
"
244,Jay Inslee Demands Climate Action Now: 'The World's On Fire',"The writer is implying that jay inslee wants to fight climate change
",t5_base,real,"Headline: Jay Inslee Demands Climate Action Now: 'The World's On Fire'
Inference: The writer is implying that jay inslee wants to fight climate change
"
245,Jay Inslee Demands Climate Action Now: 'The World's On Fire',"The writer is implying that jay inslee says the world is on fire
",t5_large,real,"Headline: Jay Inslee Demands Climate Action Now: 'The World's On Fire'
Inference: The writer is implying that jay inslee says the world is on fire
"
246,Letter: We have time to reverse climate crisis if we act decisively,"The writer is implying that we need to act now
",gpt2_large,real,"Headline: Letter: We have time to reverse climate crisis if we act decisively
Inference: The writer is implying that we need to act now
"
247,Letter: We have time to reverse climate crisis if we act decisively,"The writer is implying that we need to act on climate change now
",t5_base,real,"Headline: Letter: We have time to reverse climate crisis if we act decisively
Inference: The writer is implying that we need to act on climate change now
"
248,Letter: We have time to reverse climate crisis if we act decisively,"The writer is implying that we have time to reverse climate change
",t5_large,real,"Headline: Letter: We have time to reverse climate crisis if we act decisively
Inference: The writer is implying that we have time to reverse climate change
"
249,'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,"The writer is implying that greta knows best
",gpt2_large,real,"Headline: 'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector
Inference: The writer is implying that greta knows best
"
250,'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,"The writer is implying that greta thunberg thinks climate change activists are the biggest threat to oil industry
",t5_base,real,"Headline: 'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector
Inference: The writer is implying that greta thunberg thinks climate change activists are the biggest threat to oil industry
"
251,'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,"The writer is implying that greta thunberg is grateful to the oil industry
",t5_large,real,"Headline: 'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector
Inference: The writer is implying that greta thunberg is grateful to the oil industry
"
252,CDC shares 9 tons of protective gear with responders,"The writer is implying that the cdc doesn't care about helping people
",gpt2_large,real,"Headline: CDC shares 9 tons of protective gear with responders
Inference: The writer is implying that the cdc doesn't care about helping people
"
253,CDC shares 9 tons of protective gear with responders,"The writer is implying that the cdc is helping responders
",t5_base,real,"Headline: CDC shares 9 tons of protective gear with responders
Inference: The writer is implying that the cdc is helping responders
"
254,CDC shares 9 tons of protective gear with responders,"The writer is implying that the cdc is sharing protective gear with responders
",t5_large,real,"Headline: CDC shares 9 tons of protective gear with responders
Inference: The writer is implying that the cdc is sharing protective gear with responders
"
255,Solutions to climate change and obesity can be found in our cities,"The writer is implying that there are solutions to climate change
",gpt2_large,real,"Headline: Solutions to climate change and obesity can be found in our cities
Inference: The writer is implying that there are solutions to climate change
"
256,Solutions to climate change and obesity can be found in our cities,"The writer is implying that there are solutions to climate change and obesity
",t5_base,real,"Headline: Solutions to climate change and obesity can be found in our cities
Inference: The writer is implying that there are solutions to climate change and obesity
"
257,Solutions to climate change and obesity can be found in our cities,"The writer is implying that cities can help combat climate change
",t5_large,real,"Headline: Solutions to climate change and obesity can be found in our cities
Inference: The writer is implying that cities can help combat climate change
"
258,How People at Higher Risk from COVID-19 Can Enjoy Summer Safely,"The writer is implying that covid can be transmitted in summer
",gpt2_large,real,"Headline: How People at Higher Risk from COVID-19 Can Enjoy Summer Safely
Inference: The writer is implying that covid can be transmitted in summer
"
259,How People at Higher Risk from COVID-19 Can Enjoy Summer Safely,"The writer is implying that people at higher risk from covid can enjoy summer safely
",t5_base,real,"Headline: How People at Higher Risk from COVID-19 Can Enjoy Summer Safely
Inference: The writer is implying that people at higher risk from covid can enjoy summer safely
"
260,How People at Higher Risk from COVID-19 Can Enjoy Summer Safely,"The writer is implying that people at higher risk can enjoy summer safely
",t5_large,real,"Headline: How People at Higher Risk from COVID-19 Can Enjoy Summer Safely
Inference: The writer is implying that people at higher risk can enjoy summer safely
"
261,Ventilators: Helping or Harming COVID-19 Patients?,"The writer is implying that ventilators might be harmful
",gpt2_large,real,"Headline: Ventilators: Helping or Harming COVID-19 Patients?
Inference: The writer is implying that ventilators might be harmful
"
262,Ventilators: Helping or Harming COVID-19 Patients?,"The writer is implying that ventilators might be beneficial for covid patients
",t5_base,real,"Headline: Ventilators: Helping or Harming COVID-19 Patients?
Inference: The writer is implying that ventilators might be beneficial for covid patients
"
263,Ventilators: Helping or Harming COVID-19 Patients?,"The writer is implying that ventilators can be helpful or harmful
",t5_large,real,"Headline: Ventilators: Helping or Harming COVID-19 Patients?
Inference: The writer is implying that ventilators can be helpful or harmful
"
264,Backlash against UK plan to use all-male team to host Cop26 climate summit,"The writer is implying that the uk government is biased
",gpt2_large,real,"Headline: Backlash against UK plan to use all-male team to host Cop26 climate summit
Inference: The writer is implying that the uk government is biased
"
265,Backlash against UK plan to use all-male team to host Cop26 climate summit,"The writer is implying that uk wants to use all male team for climate summit
",t5_base,real,"Headline: Backlash against UK plan to use all-male team to host Cop26 climate summit
Inference: The writer is implying that uk wants to use all male team for climate summit
"
266,Backlash against UK plan to use all-male team to host Cop26 climate summit,"The writer is implying that the uk doesn't care about climate change
",t5_large,real,"Headline: Backlash against UK plan to use all-male team to host Cop26 climate summit
Inference: The writer is implying that the uk doesn't care about climate change
"
267,Nine simple ways to revamp your workspace for a healthier environment,"The writer is implying that there are simple things you can do to help the environment
",gpt2_large,real,"Headline: Nine simple ways to revamp your workspace for a healthier environment
Inference: The writer is implying that there are simple things you can do to help the environment
"
268,Nine simple ways to revamp your workspace for a healthier environment,"The writer is implying that there are ways to improve the environment
",t5_base,real,"Headline: Nine simple ways to revamp your workspace for a healthier environment
Inference: The writer is implying that there are ways to improve the environment
"
269,Nine simple ways to revamp your workspace for a healthier environment,"The writer is implying that there are ways to make your work environment healthier
",t5_large,real,"Headline: Nine simple ways to revamp your workspace for a healthier environment
Inference: The writer is implying that there are ways to make your work environment healthier
"
270,The Drilldown: Report finds climate change most underreported humanitarian crisis,"The writer is implying that climate change is not as important as we thought
",gpt2_large,real,"Headline: The Drilldown: Report finds climate change most underreported humanitarian crisis
Inference: The writer is implying that climate change is not as important as we thought
"
271,The Drilldown: Report finds climate change most underreported humanitarian crisis,"The writer is implying that climate change is a serious issue
",t5_base,real,"Headline: The Drilldown: Report finds climate change most underreported humanitarian crisis
Inference: The writer is implying that climate change is a serious issue
"
